Document_ID,Cleaned_Data,Sentiment
Review 155,purchas black phone 11 came scratch debt phone screen also lawless batteri percent 100 satisfi purchas would definit buy buyspri also second amazon refurbish phone purchas 1010 would recommend,Neutral
Review 156,bought phone refurbish upon receipt took mobil start servic phone blacklist report stolen owner couldn believ,Positive
Review 157,first phone unlock lie work horizon ship foot foot reliabl phone suppos 2 week ago still buy new phone save lot time worth buck save buy one,Negetive
Review 158,phone came two day phone came sturdi charg charg box phone also came glass screen protector realli appreci bc never get mine perfectli one perfectli batteri life 100 perfect condit even came w ab 80 batteri,Neutral
Review 159,delay two week receiv phone get set horizon store batteri last one month appl store told would take 5 day get new batteri phone exasper would without phone long trade bought pro never buy refurbish phone realli cost,Negetive
Review 160,phone nice look easi set phone took time set phone stuff show back suggest u phone u trade option like get money phone problem thatch phone want updat wait hour updat phone overal nice phone seller super nice bow help one month updat phone watch give week nowupd phone realli isn unlock carrier overal phone ok in work coma network happi,Neutral
Review 161,arriv batteri life alreadi 80 husband phone two year he still wa search abl get phone close price appl store near brand new refund process fairli easi though,Neutral
Review 162,brand new phone least suppos screen came scratch compani place screen protector top hide sent damag first place disappoint larg purchas alreadi damag,Positive
Review 163,came time wrap good great phone in enjoy much,Positive
Review 164,didn work box number 8 wouldn work download softwar old phone restart 3 time return bought 10 refurbish phone return easi stand behind product refund prompt,Neutral
Review 165,medium could load alway buy use phone last phone bought batteri miss phone is desper need new phone came across phone skeptic lot peopl left review review left good two bad review decid buy bought phone purpl 128 go unlock came 3 day earlier expect came charg charg box didn come origin box earbud didn expect come anyway phone self great qualiti crack chip noth iv use phone 3 day haven problem face id fast work everyth phone fast nd batteri life amaz camera he speaker loud around best phone cours everyon get phone sum might come crack sum might would recommend buy tri dont work send back wrote plan buy anoth one sister,Negetive
Review 166,visibl scratch screen top right corner seller describ june like new condit thought save 80 dollar get nice like new product disappoint pack done 34 year old sure whoever think june new condit need eye check total wast time,Positive
Review 167,buy seller purchas refurbish phone 11 never connect cell servic correctli eventu stop work altogeth got new him card still noth went appl store ran diagnost found phone faulti spend 500 replac phone seller fraudul trust sell work product buyer bewar,Neutral
Review 168,three year statu want anoth phone phone plu way replac plu time yea know like ll ye time hard ll came across phone read review sinc give purchas onlin past in like ship like le 48 hi phone arriv without origin pack great job packag get safe condit absolut love phone batteri life great speaker sound amaz camera take cake way home feel like realphotograph ll readi go natur trail etc definit great buy fantast price,Positive
Review 169,far in plea phone 11 receiv purchas att lock phone cheaper give mani bad experienc buy unlock phone past agent unlockedanyway in upbraid old phone is comparison everyth seem super sleek nice refurbish phone came damag find neck scratch essenti look brand new batteri life seem amaz seller even put screen protector super nice touch expect,Positive
Review 170,month phone horribl turn time random amazon custom support useless tell take phone appl store want send back go phone carrier pay extra phone actual work bought two one exact issuesupd took phone appl there list mug date year 1978 appl said phone suppos sent back appl repair never made result return speak hope get return,Negetive
Review 171,buy specif select unlock prompt select carrier hour tri activ switch servic spent anoth hour phone provid find phone lock make matter wors phone would allow log pp store transfer data ill like return phone angri everyth went buy product hast half your like go return,Positive
Review 172,phone water proof put phone water shut extrem disappoint,Neutral
Review 173,love much vendor one one yellow phone avail good price upgrad phone 8 le week due size everyth want love yellow ll also happi see screen protector alreadi phone like realli that win 4 extra case also lot faster phone 8 transfer stuff easi,Negetive
Review 174,good phone price,Negetive
Review 175,absolut wonder product bought refurbish amazon warehous look perform brand new fantast product arriv one day earlier promis,Positive
Review 176,pretti worri get refurbish phone amazon definit worth buy doesn come appl box earphon phone amaz condit look brand new full batteri capac also come temper glass screen protector phone,Positive
Review 177,phone came without scratch easi set everyth work,Negetive
Review 178,buyer bewar care buy refurbish phone receiv mine suppos abl use mobil network took store link plan inform could use current regist anoth user either wipe clean stolen return receiv refund,Negetive
Review 179,in thank amazon offer phone refurbish in spend 150 month lea payment phone compani famili seven kiss want keep jone horizon offer repaid plan unlimit everyth 35 that right 35 month draft debit card go store pay phone get servic paid 150 month 35 can not amazon offer refurbish phone thank amazon thank whoever refurbish phone plea take adviceswitch repaid buy pair shoe everi month save,Positive
Review 180,bought phone 700 coupl month appl releas phone 11 phone work right mayb 45 month everi 30 minut disabl temperatur hot phone lose connect everi 30 minut matter import need phone make call lose servic servic straight talk year soon put phone phone servic automat start give problem straight talk never led issu buy phone electron deal amazon you definit wind whole lot problem wast money,Positive
Review 181,far good phone day deliveri process went smoothli phone look fairli new give away come appl box receiv origin appl charg use purchas price feel like get good deal definit better pay thousand origin box charg earbud believ in miss phone appear unlock use att work fine,Positive
Review 182,medium could load phone keep turn open pp keep turn worth buy return phone,Neutral
Review 183,ever phone ever plea one got quarant time accident put old phone wash anyway phone excel refurbish face recognit batteri life span camera qualiti storag wouldn ask better phone would definit recommend anyon look phone 11 unford price one year phone still intact bought anoth one brother disappoint also got appl pack accessori unbeliev thought wouldn comment 10 star get phone,Positive
Review 184,honestli review trust seller worth can complain scratch damag issu ever wild recommend anyon use retro pu carrier support phone plu get keep bill low win win,Positive
Review 185,excel condit like new happi far,Neutral
Review 186,phone 11 3 day give come realiz issu phone address sent fulli resect date phone check him card servic provid even take multipl phone repair shop check phone still complet start without warn 10 time hour devic also seem screen sensit issu sometim respond touch sever moment work top phone hasn abl locat bluetooth devic home member household easili abl connect toi honestli dont know went wrong consid good review let say your definit take chanc buy refurbish phone guess in go send one refund unfortun wast time,Positive
Review 187,love much definit upgrad sure phone 8 previous 100 cheaper appl webster peopl mention review receiv screen protector phone come charg block satisfi didn call phone compani either phone him card switch self love made process much easier go ahead buy case protector part got could buy phone case protector along phone still appl tri sell thank amazon is crack debt scratch see also came earli,Negetive
Review 188,receiv phone two week ago littl nervou review give read renew phone came genet box phone insid bubbl wrap packag quickli inspect phone perfect look practic brand new also came free screen boot phone complet set phone work great far keep everyon post anyth chang,Neutral
Review 189,nice scar,Negetive
Review 190,purchas speaker go 4 month fit sinc seller warranti window 3 month took best buy wouldn work intern version either pay 600 fix nou version new one knew 8 take chanc renew devic ridicul worst decis ever buy onward advic buy phone verifi aerial number fact correct version,Neutral
Review 191,purchas black phone 11 came scratch debt phone screen also lawless batteri percent 100 satisfi purchas would definit buy buyspri also second amazon refurbish phone purchas 1010 would recommend,Neutral
Review 192,bought phone refurbish upon receipt took mobil start servic phone blacklist report stolen owner couldn believ,Positive
Review 193,first phone unlock lie work horizon ship foot foot reliabl phone suppos 2 week ago still buy new phone save lot time worth buck save buy one,Positive
Review 194,phone came two day phone came sturdi charg charg box phone also came glass screen protector realli appreci bc never get mine perfectli one perfectli batteri life 100 perfect condit even came w ab 80 batteri,Neutral
Review 195,delay two week receiv phone get set horizon store batteri last one month appl store told would take 5 day get new batteri phone exasper would without phone long trade bought pro never buy refurbish phone realli cost,Negetive
Review 196,phone nice look easi set phone took time set phone stuff show back suggest u phone u trade option like get money phone problem thatch phone want updat wait hour updat phone overal nice phone seller super nice bow help one month updat phone watch give week nowupd phone realli isn unlock carrier overal phone ok in work coma network happi,Positive
Review 197,arriv batteri life alreadi 80 husband phone two year he still wa search abl get phone close price appl store near brand new refund process fairli easi though,Neutral
Review 198,brand new phone least suppos screen came scratch compani place screen protector top hide sent damag first place disappoint larg purchas alreadi damag,Positive
Review 199,came time wrap good great phone in enjoy much,Positive
Review 200,didn work box number 8 wouldn work download softwar old phone restart 3 time return bought 10 refurbish phone return easi stand behind product refund prompt,Negetive
Review 201,medium could load alway buy use phone last phone bought batteri miss phone is desper need new phone came across phone skeptic lot peopl left review review left good two bad review decid buy bought phone purpl 128 go unlock came 3 day earlier expect came charg charg box didn come origin box earbud didn expect come anyway phone self great qualiti crack chip noth iv use phone 3 day haven problem face id fast work everyth phone fast nd batteri life amaz camera he speaker loud around best phone cours everyon get phone sum might come crack sum might would recommend buy tri dont work send back wrote plan buy anoth one sister,Positive
Review 202,visibl scratch screen top right corner seller describ june like new condit thought save 80 dollar get nice like new product disappoint pack done 34 year old sure whoever think june new condit need eye check total wast time,Neutral
Review 203,buy seller purchas refurbish phone 11 never connect cell servic correctli eventu stop work altogeth got new him card still noth went appl store ran diagnost found phone faulti spend 500 replac phone seller fraudul trust sell work product buyer bewar,Negetive
Review 204,three year statu want anoth phone phone plu way replac plu time yea know like ll ye time hard ll came across phone read review sinc give purchas onlin past in like ship like le 48 hi phone arriv without origin pack great job packag get safe condit absolut love phone batteri life great speaker sound amaz camera take cake way home feel like realphotograph ll readi go natur trail etc definit great buy fantast price,Negetive
Review 205,receiv phone day earli came exactli imagin littl nervou buy refurbish phone internet truli complaint phone came perfect like new condit work great carrier generalcam charg charg block mention descript also came screen protector alreadi put screen awesom much appreci touch there also 60 day warranti free return case someth happen incred plea would definit recommend anyon,Positive
Review 206,disappoint purchas price brand new appl phone phone 2 deep scratch screen come earphon appl charg cord although stick say appl charg also never abl instal cloud,Positive
Review 207,use phone long time need new one saw onlin good price dont complaint work great camera qualiti amaz came charg come headphon come classic phone pack didn bug peopl might care definit recommend want headphon id buy separ,Negetive
Review 208,amazon renew phone expect minor cosmet issu describ howev decent size mark volum button volum button function properli contract amazon seller gotten resolv,Negetive
Review 209,dont trust refurbish phone teach exchang ear speaker phone work turn phone speaker phone make phone call tri take speakerphon hear marbl voic lot static understand everi with word today tri make phone call speakerphon everi time push one number dial number pack made realli loud highpitch tone hit side button tri shut sound screen went black still make weird highpitch sound end stop 3045 second annoy final shut phone complet turn back point abl make call speakerphon give never problem like refurbish phone chat amazon told handl seller suppos call provid repaid label return discus replac phone return polici say return phone two week give refund money anoth two week order differ phone want say final receiv call refund process promptli,Positive
Review 210,haven phone 2 week power button isn work seller isn respond,Positive
Review 211,phone ship today deliveri box insid foot bag came open foot bag untouch presum complet close seal bag phone came scratch sign usag screen protector nice touch genet terrifi u cabl charg earphon describ batteri life 100 far look work good in littl concern get quit hot back path believ 63999 still high price refurbish want replac genet stuff purchas origin charg cabl earpod connect total price go beyond brand new phone,Positive
Review 212,great product look work exactli like new,Neutral
Review 213,fulli unlock compat carrier choic fals statement add amazon receiv phone paper insid box say compat spring boost mobil happen use one carrier rather ea into alreadi transfer old phone new phone fail phone back chose switch carrier addit pain buyspri end never purchas,Positive
Review 214,medium could load purchas phone 11 said unlock alway own unlock phone never troubl live guatemala phone 11 work day sudden stop recogn him card see video issu him card work old unlock phone 8 sinc u lost almost 600 bewar dont buy product complet scar,Positive
Review 215,excel teléfono may buena la clara lo recommend 100,Neutral
Review 216,son love phone problem set anyth work perfect brand new appl box well,Positive
Review 217,receiv phone friday day earlier expectedand absolut love came genet box appl compat charg cabl scratch imperfect see time batteri capac 100 look work like brand new devic,Positive
Review 218,everi thing right batteri came 100 capac arriv 4 day earli foot got color devic storag order there scratch bare screen prove use peel screen protector came could put temper glass one there invis screen protector phone light fast in happi doubt buy phone weren enough review use entir like new although dont get undo experi buy brand new earbud agent includ in happi got discount didn buy new one one sit around get scrape part someth honestli drop 690 buck thing donna go ballist didn show came earli in reliev happi absolut beauti also batteri life phone great came 2016 se big chang,Positive
Review 219,stop around lot renew refurbish phone 11 cheapest realli close sell point come 90 day warranti refund polici sold amazon prime receiv phone 4 day ago upgrad transfer everyth phone 7 11 fearlessli plu phone cosmet issu look brand new bought refurbish phone 7 11 work perfectli,Neutral
Review 220,phone come origin phone box nice bonu differ compani send unlock phone normal cardboard box work perfectli,Neutral
Review 221,work total fine far in satisfi function didn come earphon,Positive
Review 222,far buy product specif seller experi great noth complain scratch glass display mention weren back glass camera lens either far phone in andro person first smartphon happen phone gone coupl gener in plea say devic feel great still phone mustn give full 5 star review andro gang,Positive
Review 223,scar repeat scar love phone alway want nice good work phone know wont take dump singl mon need tabl keep touch school grand anyth happen in awar right away love phone scratch king like brand new look new work like new come screen protector love batteri capac 100 killer deal price kind phone well worth came two day amazon prime earlier said would happi highli recommend,Neutral
Review 224,bought refurbish in assum open box item seem 100brand new would recommend seller,Negetive
Review 225,ok,Neutral
Review 226,recommend,Positive
Review 227,phone great plea excus somewhat flurri pick shake hand batteri health alreadi 100 bare cosmet damag save super tini littl nick top bare notic unless shine camera directli area also phone came preinstal screen protector guess bit minu doesn come headphon alreadi airport doesn bother someth keep mind purchas anyth amazon renew phone came four day earli done,Neutral
Review 228,plea phone came screen protector alreadi even well place cuff phone serious like brand new batteri 99 skeptic bunch 1 star review figur would tri 90 day guarante return dont feel scare deal tri plea got black 256gb unlock phone 11 foi,Positive
Review 229,never bought use phone give never bought one onlin alway went carrier howev time readi save money get unlock phone littl nervou research took risk sinc time return full refund didn work phone came perfect condit work like new can tell differ phone brand new one give use 4 day give issu definit worth risk,Negetive
Review 230,part everyth okaydiffer part screen wont work certain time lock clock phone constantli nd hope work afterwhil write review can even hit bottom right corner add punctuat unless come autocorrectwhen contract compani told hard rest work afterthat work le day dont want hard rest phone everi day work spent seven hundr dollarsc even use numer charactersupd reach say advic didn work haven receiv respons week,Negetive
Review 231,purchas product advertis fulli unlock insert him card work contract servic provid check me number report phone still lock origin carrier phone came good condit couldn use servic provid,Positive
Review 232,feel bit skeptic place order prove wrong phone look brand new besid minim light scratch almost imposs notic batteri life still 100 also like screen protector phone,Positive
Review 233,phone unlock could use,Neutral
Review 234,screen came crack pop frame hope return process goe smoothli,Neutral
Review 235,care mine scratch screen small still use peopl dont want use phone scratch,Neutral
Review 236,best experi ever buy renew phone phone came origin box origin charg cabl phone look excel one scratch absolut beauti batteri health 100 definit recommend seller gooverstock definit buy,Positive
Review 237,fought longest time final gave upgrad phone 11 phone 7 look place onlin price way price point felt comfort buy phone amazon terrifi refurbish in still happi,Positive
Review 238,box didn come ear phone phone kept turn set ape delet they quit shut,Positive
Review 239,medium could load anna tell everybodi scar phone amaz great batteri life face id everyth unfortun mine didn come phone box much worri come w charg plea get phone dont let review scare month review phone updat brand new unlock in hair cricket everyth transfer easili,Neutral
Review 240,work well far look new,Neutral
Review 241,phone came big stuff corner aluminium frame small realli notic scratch front back phone got 64 go product red unlock phone 11 believ horizon unlock phone phone came phone 11 appl box origin appl charg origin appl brick set phone put mobil him phone start work data need get activ anyth,Neutral
Review 242,phone start that sad phone look like new,Neutral
Review 243,receiv phone day earli came exactli imagin littl nervou buy refurbish phone internet truli complaint phone came perfect like new condit work great carrier generalcam charg charg block mention descript also came screen protector alreadi put screen awesom much appreci touch there also 60 day warranti free return case someth happen incred plea would definit recommend anyon,Negetive
Review 244,disappoint purchas price brand new appl phone phone 2 deep scratch screen come earphon appl charg cord although stick say appl charg also never abl instal cloud,Negetive
Review 245,use phone long time need new one saw onlin good price dont complaint work great camera qualiti amaz came charg come headphon come classic phone pack didn bug peopl might care definit recommend want headphon id buy separ,Positive
Review 246,amazon renew phone expect minor cosmet issu describ howev decent size mark volum button volum button function properli contract amazon seller gotten resolv,Negetive
Review 247,dont trust refurbish phone teach exchang ear speaker phone work turn phone speaker phone make phone call tri take speakerphon hear marbl voic lot static understand everi with word today tri make phone call speakerphon everi time push one number dial number pack made realli loud highpitch tone hit side button tri shut sound screen went black still make weird highpitch sound end stop 3045 second annoy final shut phone complet turn back point abl make call speakerphon give never problem like refurbish phone chat amazon told handl seller suppos call provid repaid label return discus replac phone return polici say return phone two week give refund money anoth two week order differ phone want say final receiv call refund process promptli,Negetive
Review 248,haven phone 2 week power button isn work seller isn respond,Neutral
Review 249,phone ship today deliveri box insid foot bag came open foot bag untouch presum complet close seal bag phone came scratch sign usag screen protector nice touch genet terrifi u cabl charg earphon describ batteri life 100 far look work good in littl concern get quit hot back path believ 63999 still high price refurbish want replac genet stuff purchas origin charg cabl earpod connect total price go beyond brand new phone,Positive
Review 250,great product look work exactli like new,Positive
Review 251,fulli unlock compat carrier choic fals statement add amazon receiv phone paper insid box say compat spring boost mobil happen use one carrier rather ea into alreadi transfer old phone new phone fail phone back chose switch carrier addit pain buyspri end never purchas,Negetive
Review 252,medium could load purchas phone 11 said unlock alway own unlock phone never troubl live guatemala phone 11 work day sudden stop recogn him card see video issu him card work old unlock phone 8 sinc u lost almost 600 bewar dont buy product complet scar,Negetive
Review 253,excel teléfono may buena la clara lo recommend 100,Positive
Review 254,son love phone problem set anyth work perfect brand new appl box well,Positive
Review 255,receiv phone friday day earlier expectedand absolut love came genet box appl compat charg cabl scratch imperfect see time batteri capac 100 look work like brand new devic,Neutral
Review 256,purchas product advertis fulli unlock insert him card work contract servic provid check me number report phone still lock origin carrier phone came good condit couldn use servic provid,Neutral
Review 257,feel bit skeptic place order prove wrong phone look brand new besid minim light scratch almost imposs notic batteri life still 100 also like screen protector phone,Neutral
Review 258,phone unlock could use,Negetive
Review 259,screen came crack pop frame hope return process goe smoothli,Neutral
Review 260,care mine scratch screen small still use peopl dont want use phone scratch,Negetive
Review 261,best experi ever buy renew phone phone came origin box origin charg cabl phone look excel one scratch absolut beauti batteri health 100 definit recommend seller gooverstock definit buy,Neutral
Review 262,fought longest time final gave upgrad phone 11 phone 7 look place onlin price way price point felt comfort buy phone amazon terrifi refurbish in still happi,Neutral
Review 263,box didn come ear phone phone kept turn set ape delet they quit shut,Positive
Review 264,medium could load anna tell everybodi scar phone amaz great batteri life face id everyth unfortun mine didn come phone box much worri come w charg plea get phone dont let review scare month review phone updat brand new unlock in hair cricket everyth transfer easili,Positive
Review 265,work well far look new,Neutral
Review 266,phone came big stuff corner aluminium frame small realli notic scratch front back phone got 64 go product red unlock phone 11 believ horizon unlock phone phone came phone 11 appl box origin appl charg origin appl brick set phone put mobil him phone start work data need get activ anyth,Negetive
Review 267,phone start that sad phone look like new,Positive
Review 268,receiv phone day earli came exactli imagin littl nervou buy refurbish phone internet truli complaint phone came perfect like new condit work great carrier generalcam charg charg block mention descript also came screen protector alreadi put screen awesom much appreci touch there also 60 day warranti free return case someth happen incred plea would definit recommend anyon,Neutral
Review 269,disappoint purchas price brand new appl phone phone 2 deep scratch screen come earphon appl charg cord although stick say appl charg also never abl instal cloud,Positive
Review 270,use phone long time need new one saw onlin good price dont complaint work great camera qualiti amaz came charg come headphon come classic phone pack didn bug peopl might care definit recommend want headphon id buy separ,Positive
Review 271,amazon renew phone expect minor cosmet issu describ howev decent size mark volum button volum button function properli contract amazon seller gotten resolv,Negetive
Review 272,dont trust refurbish phone teach exchang ear speaker phone work turn phone speaker phone make phone call tri take speakerphon hear marbl voic lot static understand everi with word today tri make phone call speakerphon everi time push one number dial number pack made realli loud highpitch tone hit side button tri shut sound screen went black still make weird highpitch sound end stop 3045 second annoy final shut phone complet turn back point abl make call speakerphon give never problem like refurbish phone chat amazon told handl seller suppos call provid repaid label return discus replac phone return polici say return phone two week give refund money anoth two week order differ phone want say final receiv call refund process promptli,Positive
Review 273,haven phone 2 week power button isn work seller isn respond,Neutral
Review 274,phone ship today deliveri box insid foot bag came open foot bag untouch presum complet close seal bag phone came scratch sign usag screen protector nice touch genet terrifi u cabl charg earphon describ batteri life 100 far look work good in littl concern get quit hot back path believ 63999 still high price refurbish want replac genet stuff purchas origin charg cabl earpod connect total price go beyond brand new phone,Negetive
Review 275,great product look work exactli like new,Negetive
Review 276,fulli unlock compat carrier choic fals statement add amazon receiv phone paper insid box say compat spring boost mobil happen use one carrier rather ea into alreadi transfer old phone new phone fail phone back chose switch carrier addit pain buyspri end never purchas,Positive
Review 277,medium could load purchas phone 11 said unlock alway own unlock phone never troubl live guatemala phone 11 work day sudden stop recogn him card see video issu him card work old unlock phone 8 sinc u lost almost 600 bewar dont buy product complet scar,Positive
Review 278,excel teléfono may buena la clara lo recommend 100,Negetive
Review 279,son love phone problem set anyth work perfect brand new appl box well,Negetive
Review 280,receiv phone friday day earlier expectedand absolut love came genet box appl compat charg cabl scratch imperfect see time batteri capac 100 look work like brand new devic,Positive
Review 281,review base renew statu phone phone previous purchas renew galaxi phone amazon phone practic new small fraction price came origin box accessori thought it worth save 100 sinc last experi went well unfortun phone receiv visibl use scratch glitter side phone without deep crack screen batteri health lower side phone also came genet box genet accessori expect sinc item descript look get renew price seem like poor deal thank amazon longer return period phone doesn work need minut phone know id rather buy new phone appl 100,Positive
Review 282,dislik didn receiv headphon order everyth el point,Positive
Review 283,in pleasantli surpris transact in true septic regularli conduct extens research make type purchas phone doesn come origin pack cord wall adapt definit appl product u connect wall adapt bent could slide u adapterthat toss trash said product care phone exactli advertis stare right went start process entir phone transfer within hour way give use 4 day batteri life strong featur work perfectli sticki button etc would definit recommend vendor care get phone suppos your concern pack uniqu appl experi may want pay addit 400 appl store,Neutral
Review 284,donna lie read review littl resist buy renew phone end in super glad phone came day earlier expect nice packag alreadi screen protector appli bubbl set transfer old 6 simpl got appl watch transfer camera work great face id issu far etc obvious le day far good,Positive
Review 285,donna lie littl skeptic first in like sang realli spend much money scar in happi result batteri health 100 phone perfect condit came new charg headphon the troubl transfer data old phone new one didn even need call carrier turn phone simpli place him card definit recommend dont mind price ll,Positive
Review 286,phone came scratch put screen protector can see whenev put screen protector gone like bubbl put bubbl seem go away overal good guess doesn coutur in satisfi guess price should lower sinc refurbish still come mail kind mess face recognit work fine batteri fine set good took 5 mind,Neutral
Review 287,cheapest phone 11 128gb could find onlin clot search great buy love new phone camera qualiti amaz,Positive
Review 288,refurbish got brand new appl box origin charg miss ear plug,Positive
Review 289,phone came great condit work great law issu batteri life great well in happi qualiti phone in happi purchas,Positive
Review 290,paid 720 screen scratch bought shop,Neutral
Review 291,user friendli might return learn clean send back load pictur phone,Neutral
Review 292,gave phone anoth chanc kept twitch definit phone alreadi came crack side lock button guess that phone wont power complet motiv second final get phone activ let die day turn phone proper motiv final start work gotten screen protector phone case phone 11 work four day phone could longer convers phone could answer phone peopl could hear couldn hear shortli phone would hang say call fail peacetim front camera twitch video give enough phone call straight talk morn minut transfer phone take screen protector case take new aim card return phone today full refund second time purchas phone amazon time phone defect stitch anna say order anymor phone onlin first time shame second time shame third peopl plea read review care person sell phone care fix phone that broke tri sell think they found dummi wont return phone littl time today get refund today ill give phone one star phone take nice back pictur that,Positive
Review 293,product came time fashion like came charg head though charg origin can complain price pay great deal phone great condit,Positive
Review 294,honesti greatli appreci day deliv exactli promis phone arriv time look brand new everyth work smoothli expect unfortun want thrill phone size alway like larger phone contract seller refund kindli instruct return item order get full refund back card far good complaint would definit busi peopl,Neutral
Review 295,receiv phone look good charg overnight screen jumbl blur vertic line amazon insist deal seller could clear phone screen didn work commun seller scrape never realli answer question sent phone back seller refus 1 kept 99 restor fee forc amazon deal get full refund horribl seller buyer bewar,Negetive
Review 296,replac glass side phone scratch refurbish tabl includ aftermarket realli plea way phone look favor spend extra money new one,Neutral
Review 297,face id work tri everyth fix wouldn buy di seller,Positive
Review 298,bit skeptic buy phone renew amazon instead new worri soon gone phone came without damag 100 batteri health besid get offici phone box earphon still receiv work chargerpow adapt screen protector instal phone alreadi satisfi purchas,Neutral
Review 299,way leav 0 star would got phone mail super excit get run wouldn turn call appl call 30 mind couldn help get phone either needle say ill return phone without even get chanc use,Positive
Review 300,got phone 11 today anxiou use wait 2 hour everyth set messag pop say phone screen may genuin creak suppos portug right well appar screen authent hope review evid work all scan phone program call tool hope work,Negetive
Review 301,phone doesn work provid say realli wish id paid attent star rate bought tproo phone great condit work wellcon realli unlock weird hardwar configur wont connect provid said would horizon network bought phone could switch spring didn work spring contract seller support gave lot thing tri tri long enough return window pas basic said bad mein id spend littl get someth work properli return phone got anoth,Negetive
Review 302,request exchang phone got rest time tri set like red ad wife password set like countri prompt etc made return process easi ill give drop got exchang item exact phone sent back know recogn small set cuff top right hand corner ask want color specifi avail id even take white better option replac littl back stick came clean first time receiv arriv dirti like phone get they case random dustgunk kind accumul ad fanci gold charg cord instead play white one pay 400 renew phone like one id say overpr base price phone look charg phone say in disappoint say least batteri life 86 renew phone plu order 2 year ago somewher similar came 97 batteri life that high hope would fine order renewedwil order time come get differ phone give learn lesson,Positive
Review 303,look amazon renew phone coupl week skeptic order renew phone decid phone or saw phone 11 30 put cart procrastin order coupl hour partli review time decid go sinc could sent back check crack into day suppos deliv saw review post day becam concern made bad decis prepar disappoint arriv batteri complet dead put charg didn look like charg concern 30 minut enough batteri power haven issu far good bought brand new cosmet flaw anywher plea far,Positive
Review 304,perfect even screen protector,Neutral
Review 305,medium could load edit seller provid copi report show compon dem simpli oversight qualiti control seller understand sinc notic upon angl inspectionthi phone actual look amaz bare scratch case screen appear wonder held angl see video clip crippl marbl screen obvious none qualiti replac job like poorli complet job sellerwhen appli screen protector becam horribl notic protector couldn fulli adher leav bubbl couldn rub underli screen want smooth disast wast 2 protectorssad part and return phone first origin glass pretti scratch worth 500 return return purchas differ seller lesson learn spend 50 buy new applecom,Neutral
Review 306,desper need new phone phone start give old phone outdat phone 7 start mani problem trust much research look type new phone get look month end old phone still good condit phone 11 honestli best purchas got new improv dont ever anna switch back samson give gotten use home button first got didn know use best part got phone 11 unlock work straight talk in pretti pump thatthank,Neutral
Review 307,seem like new thing didn like want origin box didn even last three month screen start beg sinc refurbish seller wont help snap give refund in mad upset 700 dust phone 11 rip dont buy product broken phone better buy new one wont even swap anyth like want full refund n send back unpleas,Positive
Review 308,phone 11 son bought buyspri technic work sen expens digit camera upon phone august contract phone servic provid affin mobil said phone flag asia possibl counterfeit therefor unabl system check horizon att mobil me answer nobodi want phone system contact buyspri ask me immedi sent shout u sinc return window son wast money,Positive
Review 309,great phone came two day great upgrad 8 plu ador deliv door two day conveni instead wait appl store like usual buy amazon,Positive
Review 310,keep mind item refurbish mean someon el may screen cover alreadi knock chip base experi there huge chanc could open repair phone open water resist seal want seal correctli may lose water resist rate phone there small chanc happen could still happen good thing extend 90 day return polici come amazon refurbish return amazon offer unlock new phone would go rout unfortun dont,Neutral
Review 311,receiv purpl phone 11 perfect shape scratch crack beauti upgrad phone 7 plu wonder transit easi transfer into phone phone quick ship receiv day earli would hesit buy use,Neutral
Review 312,aw frustrat month long experi save ton grief aggrav buy phone whole experi tragic phone absolut complet total piec worthless june key board didn work constantli froze mute whenev felt like initi return process hast import everyth onto revers process realiz phone posse contract compani big solut take phone local repair shop like pair shoe get estim repair send said estim would reimburs repair cost estim like way ludacri absurd solut final get amazon custom servic involv 6 phone call span week nice drive phone 45 minut up drop spot final got refund full price paid call amazon again get fulli rectifi even amazon repres said total bonu respons propos solut seller buy rd parti seller item futur lesson learn dont wast time compani sell june make hard possibl return refund one month still dont phone wait till black friday point buy new,Neutral
Review 313,speaker blown crackl can not hear bad,Neutral
Review 314,purchas phone took toil devic wouldn allow activ toil spoke custom care person seller couldn get work told send back per it one dont anymor least price ask go said noth receiv devic credit me end buy new one unopen unus toil 599 yeah 113 unus time actual work least guarante anoth one price least someth troubl custom care person nice polit reiter noth happen unfortun wouldn recommend compani new amazon renew store least stand product guarante satisfact,Negetive
Review 315,perfect condit arriv charg cabl earphon descript said didn includ great purchas current use write review,Negetive
Review 316,phone great condit except screen screen notic damag deep scratch want includ descript def worth full price phone overal rather send back guess in deal w,Positive
Review 317,extrem disappoint wast time money phone compat mobil spring bewar buyer updat seller fix issu updat custom servic contract inspir say 3 time want return plea send label kept wast time ask want proceed alreadi tell email seem go circl instead say ok sorri label cours agent open weekend 700 phone even longer appreci happi right hope rectifi send label sap ok,Negetive
Review 318,excel shape look brand new batteri health 100 came perfectli pad charg cord wall charg great buy doesn seem renew appear new,Negetive
Review 319,purchas phone 11 said unlock search phone a put boost mobil find phone isn compat boost mobil in realli upset pas spent almost 800 phone plu ship handl find phone isn even compat boost get refund credit someth,Neutral
Review 320,brought three phone famili work okay month month use becom disast came batteri problem phone would liter shut in import call extrem hot batteri want hold charg person replac batteri origin batteri thing occur reason couldn return countri wouldn abl return time,Positive
